Image;True Target;Predicted Target;Similarity;Euclidean Distance;Correct
10_dots_1000.png;There are 10 things;There are 8 things;0,2298507;1,241087794303894;False
10_dots_1001.png;There are 10 things;There are 8 things;0,23538741;1,2366186380386353;False
10_dots_1002.png;There are 10 things;There are 8 things;0,23077689;1,2403411865234375;False
10_dots_1003.png;There are 10 things;There are 8 things;0,23186839;1,239461064338684;False
10_dots_1004.png;There are 10 things;There are 8 things;0,22882524;1,2419137954711914;False
10_dots_1005.png;There are 10 things;There are 8 things;0,23372497;1,2379621267318726;False
10_dots_1006.png;There are 10 things;There are 8 things;0,23253569;1,2389224767684937;False
10_dots_1007.png;There are 10 things;There are 8 things;0,22370595;1,246029019355774;False
10_dots_1008.png;There are 10 things;There are 8 things;0,22942007;1,2414345741271973;False
10_dots_1009.png;There are 10 things;There are 8 things;0,22612275;1,244087815284729;False
10_dots_1010.png;There are 10 things;There are 8 things;0,2260738;1,2441272735595703;False
10_dots_1011.png;There are 10 things;There are 8 things;0,23140694;1,239833116531372;False
10_dots_1012.png;There are 10 things;There are 8 things;0,2260716;1,2441290616989136;False
10_dots_1013.png;There are 10 things;There are 8 things;0,23262942;1,2388468980789185;False
10_dots_1014.png;There are 10 things;There are 8 things;0,23160376;1,23967444896698;False
10_dots_1015.png;There are 10 things;There are 8 things;0,22932434;1,2415118217468262;False
10_dots_1016.png;There are 10 things;There are 8 things;0,22653574;1,2437559366226196;False
10_dots_1017.png;There are 10 things;There are 8 things;0,23087189;1,240264654159546;False
10_dots_1018.png;There are 10 things;There are 8 things;0,22791883;1,2426432371139526;False
10_dots_1019.png;There are 10 things;There are 8 things;0,2279727;1,2425998449325562;False
10_dots_1020.png;There are 10 things;There are 8 things;0,22769243;1,2428255081176758;False
10_dots_1021.png;There are 10 things;There are 8 things;0,23084876;1,2402832508087158;False
10_dots_1022.png;There are 10 things;There are 8 things;0,22945878;1,241403579711914;False
10_dots_1023.png;There are 10 things;There are 8 things;0,22803584;1,242549180984497;False
10_dots_1024.png;There are 10 things;There are 8 things;0,23483482;1,237065315246582;False
10_dots_1025.png;There are 10 things;There are 8 things;0,23076065;1,240354299545288;False
10_dots_1026.png;There are 10 things;There are 8 things;0,23018044;1,2408219575881958;False
10_dots_1027.png;There are 10 things;There are 8 things;0,23130353;1,2399165630340576;False
10_dots_1028.png;There are 10 things;There are 8 things;0,22492504;1,2450501918792725;False
10_dots_1029.png;There are 10 things;There are 8 things;0,22971655;1,241195797920227;False
10_dots_1030.png;There are 10 things;There are 8 things;0,22577502;1,2443673610687256;False
10_dots_1031.png;There are 10 things;There are 8 things;0,22919661;1,241614580154419;False
10_dots_1032.png;There are 10 things;There are 8 things;0,23023811;1,2407755851745605;False
10_dots_1033.png;There are 10 things;There are 8 things;0,22933474;1,241503357887268;False
10_dots_1034.png;There are 10 things;There are 8 things;0,2280807;1,2425130605697632;False
10_dots_1035.png;There are 10 things;There are 8 things;0,229366;1,2414782047271729;False
10_dots_1036.png;There are 10 things;There are 8 things;0,22501749;1,2449760437011719;False
10_dots_1037.png;There are 10 things;There are 8 things;0,22621568;1,2440131902694702;False
10_dots_1038.png;There are 10 things;There are 8 things;0,22701786;1,2433680295944214;False
10_dots_1039.png;There are 10 things;There are 8 things;0,22737898;1,2430776357650757;False
10_dots_1040.png;There are 10 things;There are 8 things;0,22843957;1,2422242164611816;False
10_dots_1041.png;There are 10 things;There are 8 things;0,23580295;1,236282467842102;False
10_dots_1042.png;There are 10 things;There are 8 things;0,23089267;1,2402478456497192;False
10_dots_1043.png;There are 10 things;There are 8 things;0,2316965;1,239599585533142;False
10_dots_1044.png;There are 10 things;There are 8 things;0,22966771;1,2412352561950684;False
10_dots_1045.png;There are 10 things;There are 8 things;0,22939551;1,2414543628692627;False
10_dots_1046.png;There are 10 things;There are 8 things;0,22538827;1,2446781396865845;False
10_dots_1047.png;There are 10 things;There are 8 things;0,22762923;1,2428762912750244;False
10_dots_1048.png;There are 10 things;There are 8 things;0,23159778;1,2396793365478516;False
10_dots_1049.png;There are 10 things;There are 8 things;0,22983259;1,2411023378372192;False
10_fastcards_2450.png;There are 10 things;There are 10 things;0,22854811;1,2421367168426514;True
10_fastcards_2451.png;There are 10 things;There are 10 things;0,2230121;1,2465856075286865;True
10_fastcards_2452.png;There are 10 things;There are 10 things;0,21424341;1,2536001205444336;True
