True Target;Predicted Target;Count
There are 7 things;There are 8 things;130
There are 6 things;There are 8 things;125
There are 5 things;There are 8 things;123
There are 10 things;There are 9 things;118
There are 1 things;There are 8 things;115
There are 9 things;There are 8 things;111
There are 10 things;There are 8 things;106
There are 4 things;There are 8 things;106
There are 4 things;There are 3 things;93
There are 8 things;There are 9 things;92
There are 2 things;There are 3 things;79
There are 3 things;There are 8 things;69
There are 5 things;There are 3 things;69
There are 7 things;There are 9 things;63
There are 6 things;There are 9 things;40
There are 6 things;There are 3 things;39
There are 2 things;There are 8 things;36
There are 1 things;There are 9 things;34
There are 6 things;There are 5 things;31
There are 3 things;There are 2 things;31
There are 1 things;There are 2 things;29
There are 7 things;There are 3 things;24
There are 7 things;There are 5 things;23
There are 3 things;There are 4 things;20
There are 1 things;There are 10 things;18
There are 8 things;There are 5 things;18
There are 3 things;There are 1 things;13
There are 5 things;There are 9 things;12
There are 4 things;There are 5 things;12
There are 9 things;There are 5 things;11
There are 9 things;There are 10 things;11
There are 2 things;There are 10 things;11
There are 1 things;There are 3 things;10
There are 10 things;There are 5 things;10
There are 3 things;There are 9 things;10
There are 6 things;There are 4 things;9
There are 8 things;There are 10 things;9
There are 5 things;There are 4 things;7
There are 2 things;There are 1 things;7
There are 4 things;There are 2 things;5
There are 7 things;There are 10 things;5
There are 8 things;There are 4 things;4
There are 4 things;There are 9 things;4
There are 2 things;There are 4 things;4
There are 10 things;There are 7 things;4
There are 5 things;There are 10 things;4
There are 5 things;There are 7 things;4
There are 8 things;There are 3 things;4
There are 3 things;There are 5 things;3
There are 6 things;There are 10 things;3
There are 7 things;There are 4 things;3
There are 4 things;There are 1 things;3
There are 5 things;There are 6 things;2
There are 2 things;There are 5 things;2
There are 2 things;There are 9 things;2
There are 3 things;There are 10 things;2
There are 4 things;There are 10 things;2
There are 9 things;There are 4 things;2
There are 5 things;There are 1 things;2
There are 10 things;There are 2 things;1
There are 10 things;There are 3 things;1
There are 10 things;There are 1 things;1
There are 5 things;There are 2 things;1
There are 6 things;There are 7 things;1
There are 9 things;There are 3 things;1
