True Target;Predicted Target;Count
There are 7 things;There are 8 things;74
There are 5 things;There are 8 things;74
There are 10 things;There are 8 things;72
There are 6 things;There are 8 things;71
There are 1 things;There are 8 things;66
There are 9 things;There are 8 things;65
There are 4 things;There are 8 things;64
There are 3 things;There are 8 things;53
There are 2 things;There are 3 things;47
There are 2 things;There are 8 things;32
There are 8 things;There are 9 things;23
There are 7 things;There are 9 things;19
There are 6 things;There are 9 things;17
There are 10 things;There are 9 things;17
There are 1 things;There are 9 things;13
There are 3 things;There are 4 things;13
There are 9 things;There are 10 things;11
There are 5 things;There are 9 things;10
There are 3 things;There are 9 things;10
There are 8 things;There are 10 things;8
There are 4 things;There are 3 things;7
There are 1 things;There are 3 things;7
There are 1 things;There are 2 things;6
There are 6 things;There are 4 things;6
There are 7 things;There are 10 things;5
There are 4 things;There are 5 things;5
There are 4 things;There are 9 things;4
There are 1 things;There are 10 things;4
There are 5 things;There are 4 things;4
There are 5 things;There are 10 things;4
There are 6 things;There are 10 things;3
There are 5 things;There are 3 things;3
There are 5 things;There are 6 things;2
There are 3 things;There are 10 things;2
There are 2 things;There are 5 things;2
There are 3 things;There are 5 things;2
There are 7 things;There are 4 things;2
There are 4 things;There are 10 things;2
There are 2 things;There are 9 things;2
There are 10 things;There are 2 things;1
There are 10 things;There are 1 things;1
There are 6 things;There are 5 things;1
There are 8 things;There are 4 things;1
There are 9 things;There are 4 things;1
